sa2_code,sa2_name,dhb,dose1_uptake_perc,dose2_uptake_perc
114000,Red Beach East,Waitemata,92.5,82.5
114100,Silverdale South (Auckland),Waitemata,87.5,77.5
114200,Waimauku,Waitemata,92.5,82.5
114300,Gulf Islands,Waitemata,77.5,72.5
114400,Vipond,Waitemata,92.5,82.5
114500,Muriwai,Waitemata,87.5,77.5
114600,Stanmore Bay West,Waitemata,87.5,77.5
114700,Kumeu Rural West,Waitemata,87.5,77.5
114800,Okura Bush,Waitemata,87.5,77.5
114900,Whangaparoa Central,Waitemata,92.5,77.5
115000,Kumeu-Huapai,Waitemata,92.5,82.5
115100,Stanmore Bay East,Waitemata,87.5,77.5
115200,Manly West,Waitemata,87.5,77.5
115300,Muriwai Valley-Bethells Beach,Waitemata,82.5,72.5
115400,Tindalls-Matakatia,Waitemata,87.5,77.5
115500,Coatesville,Waitemata,87.5,77.5
115600,Dairy Flat South,Waitemata,87.5,77.5
115700,Gulf Harbour North,Waitemata,92.5,82.5
115800,Manly East,Waitemata,87.5,77.5
115900,Riverhead,Waitemata,92.5,82.5
116000,Army Bay,Waitemata,92.5,82.5
116100,Kumeu Rural East,Waitemata,87.5,77.5
116200,Gulf Harbour South,Waitemata,92.5,82.5
116300,Paremoremo West,Waitemata,87.5,77.5
116400,Taupaki,Waitemata,87.5,77.5
116500,Long Bay,Waitemata,97.5,87.5
116600,Paremoremo East,Waitemata,87.5,77.5
116700,Albany Heights,Waitemata,97.5,87.5
116800,Awaruku,Waitemata,92.5,82.5
116900,Fairview Heights,Waitemata,92.5,82.5
117000,Whenuapai,Waitemata,92.5,82.5
117100,Waitakere Ranges North,Waitemata,87.5,77.5
117200,Torbay,Waitemata,92.5,82.5
117300,Albany Central,Waitemata,97.5,82.5
117400,Albany West,Waitemata,97.5,87.5
117500,Glamorgan,Waitemata,97.5,87.5
117600,Oteha East,Waitemata,92.5,87.5
117700,Northcross,Waitemata,92.5,87.5
117800,Oteha West,Waitemata,97.5,87.5
117900,Waiake,Waitemata,92.5,82.5
118000,Waitakere,Waitemata,87.5,77.5
118100,Albany South,Waitemata,92.5,87.5
118200,Browns Bay South West,Waitemata,92.5,82.5
118300,Browns Bay Central,Waitemata,92.5,82.5
118400,Schnapper Rock,Waitemata,97.5,87.5
118500,Pinehill ,Waitemata,97.5,87.5
118600,North Harbour,Waitemata,87.5,82.5
118700,Browns Bay South East,Waitemata,92.5,87.5
118800,Westgate Central,Waitemata,97.5,62.5
118900,Greenhithe West,Waitemata,92.5,87.5
119000,Rothesay Bay,Waitemata,92.5,87.5
119100,Greenhithe East,Waitemata,92.5,87.5
119200,Hobsonville,Waitemata,92.5,82.5
119300,Inlet Waitemata Harbour,Waitemata,82.5,62.5
119400,Greenhithe South,Waitemata,92.5,82.5
119500,Murrays Bay West,Waitemata,92.5,87.5
119600,Westgate South,Waitemata,92.5,82.5
119700,Windsor Park,Waitemata,92.5,82.5
119800,West Harbour West,Waitemata,87.5,72.5
119900,Unsworth Heights West,Waitemata,92.5,87.5
120000,Murrays Bay East,Waitemata,92.5,87.5
120100,Birdwood West,Waitemata,87.5,77.5
120200,Hobsonville Point,Waitemata,97.5,92.5
120300,West Harbour Clearwater Cove,Waitemata,92.5,82.5
120400,Unsworth Heights East,Waitemata,92.5,82.5
120500,Mairangi Bay North,Waitemata,92.5,82.5
120600,Massey Central,Waitemata,87.5,72.5
120700,West Harbour Luckens Point,Waitemata,92.5,82.5
120800,Mairangi Bay South,Waitemata,92.5,87.5
120900,Massey Royal Road West,Waitemata,92.5,77.5
121000,Bayview East,Waitemata,97.5,87.5
121100,Swanson Rural,Waitemata,87.5,72.5
121200,Sunnynook South,Waitemata,97.5,87.5
121300,Sunnynook North,Waitemata,97.5,87.5
121400,Bayview West,Waitemata,92.5,82.5
121500,Totara Vale North,Waitemata,97.5,87.5
121600,Royal Heights North,Waitemata,87.5,77.5
121700,Massey West,Waitemata,87.5,77.5
121800,Beach Haven West,Waitemata,92.5,82.5
121900,Totara Vale South,Waitemata,97.5,87.5
122000,Swanson,Waitemata,92.5,82.5
122100,Bayview South,Waitemata,97.5,87.5
122200,Campbells Bay,Waitemata,92.5,87.5
122300,Royal Heights South,Waitemata,87.5,77.5
122400,Beach Haven East,Waitemata,87.5,77.5
122500,Massey East,Waitemata,87.5,72.5
122600,Forrest Hill North,Waitemata,97.5,92.5
122700,Glenfield North,Waitemata,97.5,87.5
122800,Birkdale North,Waitemata,92.5,82.5
122900,Massey South,Waitemata,87.5,77.5
